FeatureMethod,Preprocessing,Model,Approach,LatentVariables,RMSE,R2,Q2
CARS,SNV,PLS,Full,3,87.70453917477526,0.40418784574516664,-0.3225190517751615
CARS,SNV,RF,Full,N/A,23.636895153551787,0.9567241034485368,-0.03682855543834984
CARS,SNV,SVM,Full,N/A,113.80441653894223,-0.0031905892647956513,-0.6883982872795023
CARS,SNV,ANN,Full,N/A,66.047721147524,0.6621056796823145,-0.2856877794626911
CARS,SNV,PLS,PCA,1,105.4330693319654,0.13896874612376298,-1.1932529637383276
CARS,SNV,RF,PCA,,45.31255775858388,0.8409614632264506,-0.5404791282817629
CARS,SNV,SVM,PCA,,100.42576290177601,0.21881212192726074,-0.6561515288948978
CARS,SNV,ANN,PCA,,65.32332424341655,0.6694769350628524,-0.7284417391180065
CARS,SG,PLS,Full,3,83.75802729057241,0.4566019238233544,-0.19239157994111333
CARS,SG,RF,Full,N/A,25.26028449278135,0.9505755675070536,0.06943033667369902
CARS,SG,SVM,Full,N/A,112.32000672353176,0.022809001125316697,-0.7448330294456096
CARS,SG,ANN,Full,N/A,60.27781434061531,0.718563637240108,-1.0191090732352959
CARS,SG,PLS,PCA,1,106.29969169522987,0.12475583078729036,-0.6331095991339237
CARS,SG,RF,PCA,,62.798614914313596,0.694532263749896,-0.3192633513537271
CARS,SG,SVM,PCA,,106.49630375086272,0.12151513092198074,-0.7469509448323832
CARS,SG,ANN,PCA,,109.67323295812982,0.06832056791189711,-0.7698597739606006
CARS,MSC,PLS,Full,3,87.90790176365185,0.4014215949117197,-0.3238112870456413
CARS,MSC,RF,Full,N/A,23.350684211067566,0.95776578391994,-0.0246715896038443
CARS,MSC,SVM,Full,N/A,113.80180609191157,-0.003144567397810105,-0.6883810676067459
CARS,MSC,ANN,Full,N/A,114.13598210974527,-0.009044632797621688,-0.873195919907809
CARS,MSC,PLS,PCA,1,105.54295961625112,0.13717294753088127,-1.1934347330810233
CARS,MSC,RF,PCA,,45.98308282673097,0.8362198046913412,-0.5299628806258789
CARS,MSC,SVM,PCA,,100.50837528864086,0.2175263494800972,-0.6575034209798649
CARS,MSC,ANN,PCA,,105.30061671142522,0.1411307662633534,-0.8018931988634805
CARS,SNV+SG,PLS,Full,3,86.8712916802317,0.4154552363576296,-0.22018482370570114
CARS,SNV+SG,RF,Full,N/A,35.82096213287689,0.9006106822187426,0.11154414527660572
CARS,SNV+SG,SVM,Full,N/A,112.42942551371637,0.020904173292444095,-0.7526510569123182
CARS,SNV+SG,ANN,Full,N/A,71.79325234976527,0.6007614474211204,-0.6982893806942829
CARS,SNV+SG,PLS,PCA,1,112.33238917222528,0.022593533111576858,-0.6685019943971724
CARS,SNV+SG,RF,PCA,,131.6534950681974,-0.34254855787777716,-1.177963238836146
CARS,SNV+SG,SVM,PCA,,111.73985552690174,0.032877633248687976,-0.9078859237488002
CARS,SNV+SG,ANN,PCA,,114.2258861143998,-0.010634891719934814,-0.6478476994745037
RandomFrog,SNV,PLS,Full,4,87.25175731217293,0.4103238240437048,-0.4143429449732474
RandomFrog,SNV,RF,Full,N/A,20.481651230049177,0.9675066005552152,-0.17388215058016865
RandomFrog,SNV,SVM,Full,N/A,113.89886862225447,-0.0048564782408524465,-0.6873315395678834
RandomFrog,SNV,ANN,Full,N/A,70.0309619618685,0.6201209001063543,-0.5849240442886046
RandomFrog,SNV,PLS,PCA,1,105.57437375150589,0.13665924202878954,-1.2633180512399136
